variable,type,description,permitted_values
participant_id,string,Anonymised identifier of the expert teacher (P01-P05).,P01-P05
years_experience_raw,string,"Years of teaching experience in programming, verbatim transcription of the participant's handwritten response.",free text
years_experience_num,integer,Years of teaching experience converted to a numeric value (4 semesters converted as 2 years).,non-negative integer
subjects_taught,string,Programming courses currently taught by the participant.,free text; multiple subjects separated by ';'
languages_mastered,string,Programming languages mastered by the participant.,free text; multiple languages separated by ';'
A_Q01_utilidad_deteccion_similitudes,integer,"Section A - Practical Usefulness. Statement: ""The SimilCode system facilitates the detection of similarities in student code."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
A_Q02_utilidad_analisis_multidimensional,integer,"Section A - Practical Usefulness. Statement: ""The multidimensional analysis (lexical, structural, stylistic, functional, and syntactic) provides valuable information for code evaluation."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
A_Q03_utilidad_complejidad_bigO,integer,"Section A - Practical Usefulness. Statement: ""The algorithmic complexity calculation (Big O) is useful for evaluating the efficiency of student code."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
A_Q04_utilidad_ahorro_tiempo,integer,"Section A - Practical Usefulness. Statement: ""The system would save time in the evaluation of programming assignments compared to traditional methods."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
A_Q05_utilidad_modulo_individual,integer,"Section A - Practical Usefulness. Statement: ""The individual comparison module satisfies the basic needs of similarity detection."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
A_Q06_utilidad_modulo_grupal,integer,"Section A - Practical Usefulness. Statement: ""The group comparison module is useful for analysing multiple student submissions simultaneously."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
A_Q07_utilidad_uso_regular_docente,integer,"Section A - Practical Usefulness. Statement: ""I would use this system in my regular teaching activities."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
B_Q08_precision_puntajes_vs_experto,integer,"Section B - Accuracy of Results. Statement: ""The similarity scores generated by the system match my expert evaluation of the test cases."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
B_Q09_precision_identifica_codigo_identico,integer,"Section B - Accuracy of Results. Statement: ""The system correctly identifies identical code (100% similarity)."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
B_Q10_precision_distingue_funcional_estructural,integer,"Section B - Accuracy of Results. Statement: ""The system appropriately distinguishes between functional and structural similarity."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
B_Q11_precision_detecta_codigo_diferente,integer,"Section B - Accuracy of Results. Statement: ""The system correctly detects when two code fragments are different."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
B_Q12_precision_analisis_complejidad_correcto,integer,"Section B - Accuracy of Results. Statement: ""The results of the algorithmic complexity analysis are technically correct."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
B_Q13_precision_confianza_decisiones_academicas,integer,"Section B - Accuracy of Results. Statement: ""I would trust the system's results to support academic decisions on code similarity."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
C_Q14_justif_claras_comprensibles,integer,"Section C - Comprehensibility of Justifications. Statement: ""The explanations generated by the system are clear and understandable."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
C_Q15_justif_aspectos_tecnicos_relevantes,integer,"Section C - Comprehensibility of Justifications. Statement: ""The justifications address technically relevant aspects of the code."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
C_Q16_justif_nivel_detalle_apropiado,integer,"Section C - Comprehensibility of Justifications. Statement: ""The level of detail of the explanations is appropriate (neither too technical nor too simple)."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
C_Q17_justif_ayudan_entender_puntaje,integer,"Section C - Comprehensibility of Justifications. Statement: ""The justifications help understand why a particular similarity score was assigned."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
C_Q18_justif_terminologia_precisa,integer,"Section C - Comprehensibility of Justifications. Statement: ""The technical terminology used in the justifications is precise and correct."" Five-point Likert scale.",1 = Strongly disagree; 2 = Disagree; 3 = Neither agree nor disagree; 4 = Agree; 5 = Strongly agree
